"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender","S","DD","D_pred"
"87",1,0,0,0,0,0,0,2,"M",1,"1",1.5542293661557
"88",2,0,0,0,0,0,0,2,"M",2,"1",4.29099992928958
"89",2,1,1,0,0,0,1,3,"M",5,"1",8.90222292777439
"90",0,3,0,0,0,0,0,0,"W",3,"0",6.43649989393436
"91",0,3,0,0,0,0,0,1,"M",3,"1",4.54134925887636
"92",3,2.5,0.5,0,0,0,0,2,"W",6,"1",10.4749291250732
"93",2,2,0.5,0,0,0,0,3,"M",4.5,"1",9.68451681518851
"94",0,3,0,0,0,0,0,0,"W",3,"0",5.6095285902645
"95",0,3,0,0,0,0,0,0,"M",3,"0",6.03968433122483
"96",0,0,1,0,0,0,0,0,"M",1,"0",1.8698428634215
"97",0,0,0,0,1,0,0,0,"M",1,"0",1.51378308629212
"98",0,0,0,0,0,0,0,0,"M",0,"0",0
"99",0,0,0,0,0,0,0,0,"W",0,"0",0
"100",0,0,0,0,0,0,0,0,"M",0,"0",0
"101",0,0,0,0,0,0,0,0,"M",0,"0",0
"102",0,0,0,0,0,0,0,0,"M",0,"0",0
"103",0,0,0,0,0,0,0,0,"M",0,"0",0
"104",0,0,0,0,0,0,0,0,"M",0,"0",0
"105",3,3,0,0,0,0,1.5,3,"M",7.5,"1",14.9129450013276
"106",0,0,0,0,0,0,0,0,"M",0,"0",0
"107",0,0,0,0,0,0,0,0,"W",0,"0",0
"108",1.5,0,0,0,0,0,0,2,"M",1.5,"1",2.33134404923356
"109",0,0,0,0,0,0,0,0,"M",0,"0",0
"110",1.5,0,0,0,0,0,0,1,"M",1.5,"1",2.27067462943818
"111",0,0,0,0,0,0,0,0,"M",0,"0",0
"112",0,0,0,0,0,0,0,0,"M",0,"0",0
"113",1.5,0,0,0,0,0,0,1,"M",1.5,"1",2.80476429513225
"114",0,0,0,0,0,0,0,1,"M",0,"1",0
"115",0,0,0,0,0,0,0,0,"M",0,"0",0
"116",3,0,0,0,0,0,0,3,"M",3,"1",6.43649989393436
"117",0,0,0,0,0,0,0,0,"M",0,"0",0
"118",0,0,0,0,0,0,0,1,"M",0,"1",0
"119",0,0,0,0,0,0,0,2,"M",0,"1",0
