"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender"
"132",0,0,0,0,0,0,0,0,"M"
"133",0,0,0,0,0,0,0,0,"W"
"134",0,0,0,0,0,0,0,2,"M"
"135",3,2,0,1.5,2,3,1.5,2,"M"
"136",2,1,0,1,1.5,0,0.5,2.5,"M"
"137",1.5,0.5,0.5,0,0,0,0.5,1,"M"
"138",2,1.5,0,0,0,0,0.5,1,"M"
"139",1,0.5,0,0,0,0,0.5,1,"M"
"140",0.5,0,0,0,0,0,0,0.5,"M"
"141",0,0,0,0,0,0,0,0,"W"
"142",1.5,0,0,0,0,0,0,1.5,"M"
"143",0,0,0,0,0,0,0,0,"W"
"144",1.5,1,0,0,0.5,0,0.5,2,"M"
"145",2,2,0,0,1,0,0.5,1.5,"M"
"146",1.5,1.5,0,0,0.5,0,0,1.5,"M"
"147",0,0.5,0,0,0,0,0,0.5,"W"
"148",1,0.5,0,0,0,0,0,0.5,"M"
"149",2.5,1.5,0,0,0.5,0,0.5,1.5,"M"
"150",0,1,0,0,1.5,0,0,1,"M"
"151",0,0.5,0,0,1,0.5,0,0.5,"W"
"152",0,0,0,0,0,0,0,0,"W"
"153",0,0,0,0,0,0,0,0,"M"
"154",1.5,1,0.5,0,0.5,0,0.5,1,"M"
"155",3,1.5,0,0,0,0,0,1.5,"W"
"156",1.5,0,0,0,0,0,0,0,"W"
"157",2.5,0,0,0,0,1.5,0,0,"W"
"158",3,0,1.5,0,0,0,3,3,"M"
"159",3,1.5,1.5,0,0,0,0,1.5,"W"
"160",3,3,3,1.5,1.5,3,3,3,"M"
"161",3,3,3,0,3,1.5,3,3,"M"
"162",3,0,0,0,0,0,0,1.5,"W"
"163",3,0,0,1.5,0,0,1.5,1.5,"W"
"164",3,0,1.5,0,0,0,3,1.5,"M"
"165",1.5,0,0,0,0,0,0,1.5,"M"
"166",0,0,0,0,0,0,0,0,"W"
"167",1.5,0,0,0,0,0,0,1.5,"M"
"168",3,0,1.5,0,0,0,0,1.5,"M"
"169",3,0,1.5,0,0,0,1.5,1.5,"M"
"170",0,0,0,0,0,0,0,1.5,"W"
"171",0,0,0,0,0,0,0,1.5,"W"
"172",0,0,0,0,0,0,0,1.5,"W"
"173",2,1,1.5,1.5,0,0,0,0,"M"
"174",2,2,0.5,1.5,2,0,0,0,"M"
"175",1,1.5,0.5,1.5,1.5,0,0,0.5,"M"
"176",1.5,1.5,0.5,0.5,1.5,0,0,1,"M"
"177",1,0.5,0.5,1,0,0,1.5,0.5,"W"
"178",2.5,2,1,0.5,0,0,0,1.5,"M"
"179",2,2.5,0.5,1.5,0.5,0,0,2,"M"
"180",2.5,3,2,0.5,1.5,0,2,3,"M"
"181",1.5,2,1.5,1,0.5,0,2.5,0,"M"
"182",1,0.5,0.5,0,1.5,0,0.5,0,"M"
"183",0,2,1.5,1,2,1,1,0.5,"W"
"184",2.5,0,0,0,0,0,0,1,"M"
"185",3,1,0.5,1,1,0,2,2,"M"
"186",2.5,0,0,0,0,0,0,0.5,"M"
"187",1,0,0,0,0,0,0,0.5,"M"
"188",0.5,0,0,0,0,0,0,0,"M"
"189",3,3,2.5,0.5,0.5,0,3,3,"M"
"190",2,0.5,0,0,0,0,0,1.5,"M"
"191",1,0,0,0,0,0,0,0.5,"M"
"192",0.5,0,0,0,0,0,0,0.5,"W"
"193",3,1,1,0.5,1.5,0,1,1.5,"M"
"194",1.5,1,1,0.5,1.5,0,1,1.5,"M"
"195",2,0.5,0,0,0,0,0,1,"M"
"196",2.5,1.5,0.5,0,0,0,0,1.5,"M"
"197",1.5,0,0,0,0,0,0,0.5,"M"
"198",2,0.5,0.5,0.5,0.5,0,0.5,1,"M"
"199",0.5,0,0,0,0,0,0,0.5,"M"
"200",0.5,0,0,0,0,0,0,0.5,"M"
"201",2,2,1,2,2,0,2,2,"M"
"202",3,0,0,0,0,0,0,0.5,"M"
"203",3,0,0,0,0,0,0,0.5,"M"
"204",3,2,0,0,0,1.5,2,2,"M"
"205",3,2,0,0,0,0,0,1.5,"M"
"206",2.5,0,0,0,0,0,0,0.5,"M"
"207",2.5,0,1.5,0,0,0,1.5,0.5,"M"
"208",3,1.5,2,0,0,0,1.5,1,"M"
"209",2.5,1,1.5,0,0,0,1.5,0.5,"M"
"210",2,1.5,1.5,0,0,0,1.5,0.5,"M"
"211",1,1.5,1.5,0,0,0,1.5,0.5,"M"
"212",2,0,0,0,0,0,0,0,"W"
"213",1.5,0,0,0,0,0,0,0,"W"
"214",1,0,1.5,0,0,0,0,0,"W"
"215",1,0,1.5,0,0,0,0,0,"W"
"216",3,0,0,0,0,0,1,0,"M"
"217",1,0,0,0,0,0,0,0,"M"
"218",1,0,0,0,0,0,0,0,"M"
"219",0,0,0,0,0,0,0,0,"M"
"220",3,3,1.5,3,3,0,3,3,"M"
"221",2.5,3,1.5,2.5,3,0.5,0.5,3,"M"
"222",3,1,1.5,1,0.5,0,1.5,1.5,"M"
"223",2,2.5,2,3,2.5,2,2.5,2.5,"M"
"224",1.5,1,0.5,0.5,0.5,0,0,0.5,"M"
"225",0,0,0,0,0,0,0,0,"M"
"226",2,0.5,0,0,0,0,0.5,1,"M"
"227",1.5,1.5,0.5,1,0.5,0,1,0.5,"M"
"228",2,2.5,2,2,2,1.5,1,1.5,"M"
"229",0.5,0,0,0,0,0,0,0.5,"M"
"230",1.5,2,1,1.5,2.5,0.5,1.5,1,"W"
"231",2,1,1,2,0,0.5,0,0.5,"M"
"232",0,0,0,0,0,0,0,0.5,"M"
"233",2,0,1,0,0,0,0.5,1,"M"
"234",0,0,0,0,0,0,0,0,"M"
"235",0.5,0,0,0,0,1,0.5,0.5,"M"
"236",3,1,1,0.5,0.5,1,0,1,"M"
"237",3,0,0,0,3,0,0,0,"W"
"238",0,0,0,0,3,0,0,1.5,"M"
"239",0,0,0,0,0,0,1.5,1.5,"M"
"240",0,0,0,0,3,0,0,0,"M"
"241",3,0,0,0,3,0,0,0,"M"
"242",1.5,0,0,0,0,0,1.5,1.5,"M"
"243",1.5,0,0,0,0,0,0,0,"W"
"244",3,0,0,0,0,0,0,1.5,"M"
"245",0,0,0,0,0,0,0,1.5,"M"
"246",0,0,0,0,0,1.5,0,0,"W"
"247",3,0,0,0,0,3,3,3,"M"
"248",3,0,0,0,0,3,3,1.5,"M"
"249",2,1,0,0,0,0,0.5,0.5,"M"
"250",1,0,0,0,0,0,0,0.5,"M"
